iter	Passed	Remaining
0	0	78
1	1	70
2	2	67
3	2	64
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	12	51
19	12	51
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	24	38
39	25	38
40	26	37
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
